system_equipment,equipment_description,equipment_code,equipment_level,parent_code,parent_level,type_travail,action_entity,date_declaration,date_fin,date_creation,cout_total,source
B7214T0008,SOUFFLEUSE SBO 20 SIDEL,B7214T0008-FOURIR,2,B7214T0008,1.0,CORR,LLK,2023-01-17,2023-04-08,2023-01-17,90903.77501730765,2023_CORRECTIF
B7214T0010,SOUFFLEUSE SBO 20 SIDEL,B7214T0010,1,,,CORR,LLK,2023-01-17,2023-04-08,2023-01-17,1069.9996544383196,2023_CORRECTIF
B7216T0011,REMPLISSEUSE Combi SF SELECT GL 90/15C SIDEL FILLING/BOUCHEUSE TOURELLE  T15 / 540 ZALKIN,B7216T0011,1,,,CORR,LLK,2023-01-17,2023-04-08,2023-01-17,0.0,2023_CORRECTIF
B7216T0012,REMPLISSEUSE Combi SF SELECT GL 90/15C SIDEL FILLING/BOUCHEUSE TOURELLE  T15 / 540 ZALKIN,B7216T0012-TRANSF-TC,3,B7216T0012-TRANSF,2.0,CORR,LLK,2023-01-17,2023-04-08,2023-01-17,646.25,2023_CORRECTIF
B7216T0012,REMPLISSEUSE Combi SF SELECT GL 90/15C SIDEL FILLING/BOUCHEUSE TOURELLE  T15 / 540 ZALKIN,B7216T0012,1,,,CORR,LLK,2023-01-17,2023-04-08,2023-01-17,0.0,2023_CORRECTIF
B7217T0001,SOUTIREUSE,B7217T0001-S004,2,B7217T0001,1.0,CORR,ELKS_UAP2,2023-01-17,2023-06-01,2023-01-17,148.8175734,2023_CORRECTIF
B7217T0001,SOUTIREUSE,B7217T0001-S004,2,B7217T0001,1.0,CORR,ELKS_UAP2,2023-01-17,2023-06-01,2023-01-17,1746.5703641684586,2023_CORRECTIF
B7217T0001,SOUTIREUSE,B7217T0001-S004,2,B7217T0001,1.0,CORR,ELKS_UAP2,2023-01-17,2023-06-01,2023-01-18,89.29054404,2023_CORRECTIF
B7218T0001,RINCEUSE,B7218T0001,1,,,CORR,ELKS_UAP2,2023-01-17,2023-06-01,2023-01-17,104.17230138,2023_CORRECTIF
B7220T8001,MONOBLOC,B7220T8001,1,,,CORR,ELKS_UAP1,2023-01-17,2023-06-01,2023-01-24,838.945814,2023_CORRECTIF
