EREQ_CODE,EREQ_DESCRIPTION,EREQ_LEVEL,EREQ_PARENT_EQUIPMENT,EREQ_SYSTEM_EQUIPMENT,EREQ_CREATION_DATE,EREQ_EQUIPMENT_STATUS,EREQ_CATEGORY,EREQ_ENTITY,EREQ_ZONE,EREQ_COSTCENTRE
B4688R0001-A026,VANNE TOR DE RECIRCULATION  DE EPB XV885,2,B4688R2000-A016,B4688R2000-A016,2012-08-01,NORMAL,B4602,BS1,BS1-ACC8,SUCRE-D-RAFS
B4688R0001-A027,VANNE TOR DE RECIRCULATION  MELASSE XV887,2,B4688R2000-A016,B4688R2000-A016,2012-08-01,NORMAL,B4602,BS1,BS1-ACC8,SUCRE-D-RAFS
B4688R0003-A034,VANNE TOR DE RECIRCULATION  LSA XV810,2,B4688R2000-A016,B4688R2000-A016,2012-08-01,NORMAL,B4602,BS1,BS1-ACC8,SUCRE-D-RAFS
B4688R0003-A035,VANNE TOR DE RECIRCULATION  LSB XV820,2,B4688R2000-A016,B4688R2000-A016,2012-08-01,NORMAL,B4602,BS1,BS1-ACC8,SUCRE-D-RAFS
B4688R0003-A037,VANNE TOR DE RECIRCULATION  LSA XV810B,2,B4688R2000-A016,B4688R2000-A016,2012-08-01,NORMAL,B4602,BS1,BS1-ACC8,SUCRE-D-RAFS
B3360R2000-A008,VANNE MANUELLE,1,,B3360R2000-A008,2012-08-01,NORMAL,B4603,BS1,BS1-ACC8,SUCRE-D-RAFS
B4600R2000-A016,INSTRUMENTATIONS,2,B4600R2008,B4600R2008,2012-08-01,NORMAL,B4605,BS1,BS1-ACC8,SUCRE-D-RAFS
B3623T0065,GROUPE MOTO POMPE CENTRIFUGE P696A,1,,B3623T0065,2012-08-01,NORMAL,B3623,BS1,BS1-VID,SUCRE-D-RAFS
B3602R0025-A001,POMPE NUE,2,B3623T0065,B3623T0065,2012-08-01,NORMAL,B3602,BS1,BS1-VID,SUCRE-D-RAFS
B3623T0068,GROUPE ELECTROPOMPE CENTRIFUGE P696B,1,,B3623T0068,2012-08-01,NORMAL,B3623,BS1,BS1-VID,SUCRE-D-RAFS
B4313R6503-A002,MOTEUR ELECTRIQUE,2,B3623T0068,B3623T0068,2012-08-01,NORMAL,B3503,BS1,BS1-VID,SUCRE-D-RAFS
B3623T0067,GROUPE ELECTROPOMPE CENTRIFUGE P696C,1,,B3623T0067,2012-08-01,NORMAL,B3623,BS1,BS1-VID,SUCRE-D-RAFS
B4313R6503-A003,MOTEUR ELECTRIQUE,2,B3623T0067,B3623T0067,2012-08-01,NORMAL,B3503,BS1,BS1-VID,SUCRE-D-RAFS
